Gloss	Concepticon_ID	Synset
THREAD	1161	thread.n.01
ROPE	1218	rope.n.01
FAN (OBJECT)	1971	fan.n.01
WALKING STICK	1296	walking_stick.n.01
CANDLE	1273	candle.n.01
MATCH	1133	match.n.01
SOAP	788	soap.n.01
HAMMER	1481	hammer.n.02
TONGS	272	tongs.n.01
SAW	1948	saw.n.02
NAIL (TOOL)	502	nail.n.02
WHEEL	710	wheel.n.01
WOOD	1803	wood.n.01
GLASS	604	glass.n.01
POSTAGE STAMP	596	postage.n.02
CAR	1111	car.n.01
BICYCLE	747	bicycle.n.01
BOAT	1844	boat.n.01
STREET	1362	street.n.01
SCHOOL	673	school.n.02
LETTER	1612	letter.n.01
MOVIE	216	movie.n.01
BALL	1845	ball.n.03
HAWK	307	hawk.n.01
WHISTLE	1025	whistle.v.03
FOREHEAD	123	brow.n.01
THUMB	1781	thumb.n.01
MAN	1554	man.n.01
OLD MAN	406	old_man.n.01
OLD WOMAN	907	old_woman.n.01
CHILD (YOUNG HUMAN)	1304	child.n.01
BOY	1366	male_child.n.01
WIDOW	1756	widow.n.01
UNCLE	1327	uncle.n.01
OLDER BROTHER	1759	big_brother.n.02
YOUNGER BROTHER	1760	little_brother.n.01
OLDER SISTER	1758	big_sister.n.01
YOUNGER SISTER	1761	little_sister.n.01
TOP	1753	peak.n.04
BOTTOM	690	bottom.n.02
MIDDLE	1093	center.n.01
CORNER	192	corner.n.03
FREEZE	1431	freeze.v.02
SMELL (PERCEIVE)	1586	smell.v.01
SPLASH	365	sprinkle.v.02
SQUEEZE	1414	squeeze.v.02
CATCH	702	catch.v.04
WRAP	1113	wind.v.03
FOLD	1470	fold.v.01
TEAR (SHRED)	1735	tear.v.01
BRUSH	1821	brush.n.02
SCOLD	299	call_on_the_carpet.v.01
DRIVE	741	drive.v.01
YAWN	1028	yawn.v.01
SCRATCH	1436	rub.v.03
NO	1269	no.r.03
STRONG	785	strong.a.01
OTHER	197	other.a.01
NEST	539	nest.n.01
SCORPION	1538	scorpion.n.03
ALONE	1964	alone.r.02
BOOMERANG	135	boomerang.n.01
BREATHE	1407	breathe.v.01
CAMP	1105	camp.n.03
BASKET	1539	basket.n.01
CORRECT (RIGHT)	1725	correctly.r.01
CRAWL	96	crawl.v.01
DROWN	1904	drown.v.03
GRASSHOPPER	607	grasshopper.n.01
MAKE	734	produce.v.02
ROOF	769	roof.n.01
STAB	1434	knife.v.01
STINGRAY	1910	stingray.n.01
TENDON	1137	tendon.n.01
THIN	2308	thin.a.01
TURN	1588	turn.v.04
VULVA	1837	vulva.n.01
ISLAND	622	island.n.01
SWAMP	1145	swamp.n.01
WATERFALL	943	waterfall.n.01
HAMMOCK	2019	hammock.n.02
FISHNET	388	fishnet.n.01
FISHHOOK	1074	fishhook.n.01
PADDLE	234	paddle.n.04
TAPIR	312	tapir.n.01
JAGUAR	1250	jaguar.n.01
ANTEATER	181	anteater.n.02
TOUCAN	308	toucan.n.01
PARROT	882	parrot.n.01
SAVANNA	260	savanna.n.01
RATTLE	300	rattle.n.02
CHIEFTAIN	301	headman.n.02
HAIR (BODY)	189	body_hair.n.01
SEA	1474	sea.n.01
DOWN	1326	down.r.01
UP	1591	up.r.01
END (OF TIME)	743	end.n.03
LAST (ENDURE)	1186	last.v.01
THREE TIMES	417	thrice.r.01
TWENTY	1710	twenty.s.01
TWELVE	1707	twelve.s.01
ELEVEN	1706	eleven.s.01
SQUARE	850	square.n.04
FATHOM	81	fathom.n.01
END (OF SPACE)	742	end.n.09
HIDE (CONCEAL)	602	hide.v.01
REMAINS	838	remainder.n.01
WAGES	1122	wages.n.01
OWE	369	owe.v.03
COIN	1867	coin.n.01
LET GO OR SET FREE	1095	let_go_of.v.01
RESCUE	2008	rescue.v.01
PRESERVE	1997	conserve.v.02
OWN	684	own.v.01
LAND (DESCEND)	1922	land.v.06
ANCHOR	1870	anchor.n.01
SAILCLOTH	786	sail.n.01
RUDDER	108	oar.n.01
RAFT	1664	raft.n.01
OUTRIGGER	416	outrigger.n.01
SHIP	740	ship.n.01
CART	122	wagon.n.01
SLIP	1324	skid.v.04
DIVE	119	dive.v.03
PAINTING	2001	paint.v.02
STATUE	1002	statue.n.01
SCULPTOR	914	sculptor.n.01
FAN ACTION	360	fan.v.03
RUG	292	rug.n.01
MOLD	289	cast.v.07
POTTER	359	potter.n.01
FORGE	288	forge.v.01
HOLLOW OUT	46	hollow.v.02
TOOL	1361	instrument.n.02
PULL OFF (SKIN)	291	flay.v.01
CHOP	155	chop.v.01
CUT DOWN	355	slash.v.01
POUND	354	thump.v.03
KNOT	760	knot.n.02
CHAIN	1627	chain.n.03
NETTLE	33	nettle.n.01
BANYAN	346	banyan.n.01
TREE TRUNK	344	trunk.n.01
TREE STUMP	241	stump.n.01
SMOKE (INHALE)	1689	smoke.v.01
ACORN	968	acorn.n.01
FIR	1915	fir.n.02
OAK	644	oak.n.02
HAY	342	hay.n.01
HARVEST	611	crop.n.01
SOW SEEDS	748	sow.v.01
RAKE	338	rake.n.03
SHOVEL	1901	shovel.n.01
SPADE	1176	spade.n.02
FENCE	1690	fence.n.01
GARDEN	586	garden.n.03
FARMER	979	farmer.n.01
MORTAR BINDER	1731	mortar.n.02
BRICK	1006	brick.n.01
ARCH	876	arch.n.04
POST	281	pole.n.01
RAFTER	829	rafter.n.01
RIDGEPOLE	280	ridge.n.06
THATCH	279	thatch.n.02
BLANKET	806	blanket.n.01
FLOOR	1632	floor.n.01
LATCH	1012	bolt.n.03
DOORPOST	80	doorjamb.n.01
MEETING HOUSE	335	conventicle.n.02
COOKHOUSE	334	cookhouse.n.02
TENT	1316	tent.n.01
RAG	332	rag.n.01
TATTOO	68	tattoo.n.02
NECKLACE	1961	necklace.n.01
RING	1374	ring.n.08
ORNAMENT	917	adornment.n.01
PIN	64	straight_pin.n.01
BUTTON	757	button.n.01
BELT	772	belt.n.02
SHOEMAKER	875	cobbler.n.01
GRASS-SKIRT	328	grass_skirt.n.01
DRESS	474	dress.n.01
PONCHO	327	poncho.n.01
MEAD	941	mead.n.03
BEVERAGE	731	beverage.n.01
BUTTER	1245	butter.n.01
CHEESE	1569	cheese.n.01
OIL (ORGANIC SUBSTANCE)	1484	oil.n.01
FIG	322	fig.n.04
PESTLE	225	pestle.n.03
DOUGH	273	dough.n.01
BREAD	1368	bread.n.01
SCRAPE	1767	scrape.v.01
FORK	1302	fork.n.01
SAUCER	271	saucer.n.02
CUP	476	cup.n.01
PLATE	480	plate.n.04
DISH	481	dish.n.01
PAN	31	pan.n.01
OVEN	1143	oven.n.01
BOIL (OF LIQUID)	792	boil.v.01
PHYSICIAN	597	doctor.n.01
COMMON COLD (DISEASE)	102	cold.n.01
GOITER	1957	goiter.n.01
CONCEIVE	1087	conceive.v.03
BEGET	1152	beget.v.01
DRIBBLE	268	drivel.v.01
HICCOUGH	162	hiccup.v.01
WOMB	804	uterus.n.01
FOOTPRINT	318	footprint.n.01
SHOULDERBLADE	172	scapula.n.01
MOLAR TOOTH	1049	molar.n.01
GUMS	139	gingiva.n.01
EARWAX	32	cerumen.n.01
EARLOBE	18	earlobe.n.01
TEMPLES	1604	temple.n.02
PUBIC HAIR	36	pubic_hair.n.01
FLESH	2259	flesh.n.01
LIZARD	632	lizard.n.01
SANDFLY	95	simuliidae.n.01
WASP	1517	wasp.n.02
BEEHIVE	88	beehive.n.04
SPIDER WEB	1065	spider_web.n.02
CAMEL	1871	camel.n.01
FOX	1312	fox.n.01
WHALE	957	whale.n.02
SHARK	1110	shark.n.01
FIN	213	fin.n.06
OPOSSUM	309	opossum.n.02
RABBIT	1136	rabbit.n.01
SEAGULL	950	gull.n.02
HERON	758	heron.n.02
LAMB	820	lamb.n.01
EWE	1345	ewe.n.03
HERDSMAN	263	herder.n.02
PASTURE	649	pasture.n.01
FEMALE (OF ANIMAL)	2262	female.a.01
MALE (OF ANIMAL)	2263	male.s.03
ORPHAN	1149	orphan.n.01
STEPDAUGHTER	1058	stepdaughter.n.01
DESCENDANTS	490	descendants.n.01
COUSIN	1643	cousin.n.01
SIBLING	1640	sibling.n.01
SISTER	1263	sister.n.01
BROTHER	1262	brother.n.01
MARRIED WOMAN	426	wife.n.01
MARRIED MAN	424	husband.n.01
YOUNG WOMAN	77	girl.n.01
AIR	27	air.n.01
STORM	858	storm.n.01
BOLT (OF LIGHTNING)	2007	thunderbolt.n.01
STONE OR ROCK	2125	rock.n.01
SPRING OR WELL	2144	well.n.01
LOW TIDE	1026	low_tide.n.01
WAVE	978	wave.n.01
CAPE	1662	cape.n.01
REEF	660	reef.n.01
OCEAN	645	ocean.n.01
SHORE	113	shore.n.01
MAINLAND	166	mainland.n.01
LAND	626	land.n.04
WINTER	1471	winter.n.01
SPRINGTIME	1537	spring.n.01
SUMMER	1342	summer.n.01
AUTUMN	1276	fall.n.01
SNIFF	375	sniff.v.01
BRACKISH	70	brackish.s.02
COLOR	1613	color.n.01
LIGHT (COLOR)	250	light.a.06
ROUGH	1923	rough.a.01
WRINKLED	380	wrinkled.a.01
GOOD LUCK	720	good_fortune.n.01
BAD LUCK	56	misfortune.n.02
PITY	1141	commiseration.n.01
GROAN	716	groan.v.01
BLAME	381	incrimination.n.01
PRAISE	1687	praise.n.01
THINK (REFLECT)	1415	think.v.03
THINK (BELIEVE)	1513	think.v.02
IDEA	1609	idea.n.01
MAD	1899	brainsick.s.01
TEACHER	1038	teacher.n.01
MUMBLE	128	mumble.v.01
SHRIEK	298	shriek.v.01
FORBID	83	forbid.v.01
THREATEN	1192	threaten.v.02
POET	1045	poet.n.01
FLUTE	777	flute.n.01
BRASS INSTRUMENT (HORN OR TRUMPET)	2136	cornet.n.01
NATIVE COUNTRY	89	fatherland.n.01
KING	1508	king.n.01
QUEEN	1306	queen.n.02
FREEMAN	384	freeman.n.01
FRIEND	1325	friend.n.01
PEACE	1338	peace.n.01
ARMY	1561	army.n.01
WEAPONS	951	weapon.n.01
BATTLE-AXE	386	battle-ax.n.01
SWORD	1535	sword.n.01
TOWER	1671	tower.n.01
VICTORY	783	victory.n.01
RETREAT	421	withdraw.v.01
FISHERMAN	1858	fisherman.n.01
TRAP (PITFALL)	1075	trap.n.01
TRAP (CATCH)	1170	trap.v.02
COURT	1068	court.n.08
ADJUDICATE	1818	decide.v.02
JUDGE	861	judge.n.01
PLAINTIFF	2020	plaintiff.n.01
DEFENDANT	1034	defendant.n.01
CONVICT	983	convict.v.01
PERJURY	1792	perjury.n.01
RELIGION	661	religion.n.02
TEMPLE	911	temple.n.01
ALTAR	853	altar.n.02
SACRIFICE	1103	sacrifice.n.04
WORSHIP	257	worship.v.02
PRAY	24	pray.v.01
PRIEST	852	priest.n.02
HOLY	1702	holy.a.01
PREACH	304	preach.v.01
BLESS	391	bless.v.01
CURSE	8	curse.v.03
ABSTAIN FROM FOOD	303	fast.v.01
HEAVEN	1565	heaven.n.02
HELL	878	hell.n.03
DEMON	1973	devil.n.02
IDOL	1945	idol.n.01
MAGIC	392	magic.n.01
MAGICIAN	2137	enchantress.n.02
OMEN	107	omen.n.01
GRANDPARENTS	305	grandparent.n.01
VAGINA	1836	vagina.n.01
SQUIRREL	1628	squirrel.n.01
CHAMELEON	1555	chameleon.n.03
LIFE	210	animation.n.01
DISEASE	1986	disease.n.01
TWIST	430	twist.v.05
BEGIN	1806	begin.v.03
ELK	1772	elk.n.01
HARE	1190	hare.n.01
SONG	1096	song.n.01
PIECE	594	part.n.03
SLED	16	sled.n.01
NEWSPAPER	1298	newspaper.n.01
CHURCH	1349	church.n.02
GUN	1566	gun.n.01
DAMAGE	1116	damage.v.01
INVITE	1611	invite.v.02
GRANDCHILD	1617	grandchild.n.01
HEAD LOUSE	310	head_louse.n.01
MUSIC	642	music.n.04
PLAIT	333	braid.n.01
TRAIN	900	train.n.01
AIRPLANE	1597	airplane.n.01
BANK	1284	depository_financial_institution.n.01
SIEVE	86	sift.v.02
DRIP (FALL IN GLOBULES)	808	drop.v.01
ZERO	1294	zero.s.01
QUIET	1314	quiet.a.02
BUFFALO	934	old_world_buffalo.n.01
LOSE	1660	lose.v.05
NEXT	1354	following.s.02
NUMBER	1356	number.n.02
ORDER	1128	order.v.01
PEG	361	peg.n.01
PLAIT OR BRAID OR WEAVE	1729	braid.v.01
MACHINE	144	machine.n.01
WEDDING	1259	marriage.n.03
LINEN	916	linen.n.01
INJURE	44	injure.v.01
HIRE	856	hire.v.01
PERMIT	1003	permit.v.01
PREVENT	1550	prevent.v.02
RADIO	1315	radio_receiver.n.01
TELEVISION	1788	television_receiver.n.01
TELEPHONE	1379	telephone.n.01
MOTORCYCLE	638	motorcycle.n.01
BUS	1070	bus.n.01
ELECTRICITY	59	electricity.n.02
BATTERY	662	battery.n.02
HOSPITAL	616	hospital.n.02
NURSE	1104	nurse.n.01
PILL	395	pill.n.02
INJECTION	1805	injection.n.03
FAUCET	1488	faucet.n.01
MATTRESS	105	mattress.n.01
GOVERNMENT	815	government.n.01
PRESIDENT	899	president.n.03
MINISTER	486	minister.n.02
POLICE	656	police.n.01
DRIVER'S LICENSE	599	driver's_license.n.01
CRIME	1066	crime.n.01
ELECTION	240	election.n.01
MAIL	167	mail.n.02
CAN	1051	can.n.01
SCREW	1802	screw.n.04
SCREWDRIVER	836	screwdriver.n.01
SPECTACLES	1898	spectacles.n.01
PLASTIC	654	plastic.n.01
BOMB	1804	bomb.n.01
WORKSHOP	1677	workshop.n.01
CALENDAR	1967	calendar.n.03
ADDRESS	591	address.n.06
BIRTH CERTIFICATE	397	birth_certificate.n.01
BRAKE	966	brake.v.02
PETROLEUM	650	petroleum.n.01
MOTOR	110	motor.n.01
LIBERATE	37	liberate.v.03
LICENSE PLATE	1790	license_plate.n.01
POSTCARD	1497	postcard.n.01
SAME	200	same.a.01
COFFEE	1299	coffee.n.01
COYOTE	912	coyote.n.01
QUAIL	1893	quail.n.02
RACCOON	828	raccoon.n.02
REINDEER	1876	caribou.n.01
BEAVER	1194	beaver.n.07
LASSO	340	lasso.n.02
LARCH	116	larch.n.02
NEEDLE TREE	286	acerate_leaf.n.01
ARCTIC LIGHTS	261	aurora_borealis.n.01
TAN	247	tan.v.01
SNOWSHOE	233	snowshoe.n.01
CIRCUMCISION	393	circumcision.n.03
CONE	287	cone.n.03
BODY LOUSE	311	body_louse.n.01
WHETSTONE	295	whetstone.n.01
CORMORANT	840	cormorant.n.01
KANGAROO	164	kangaroo.n.01
RETURN HOME	142	go_home.v.01
STEAM	1193	steam.n.01
CARCASS	1770	carcase.n.01
PADLOCK	336	padlock.n.01
BEGINNING	1557	beginning.n.01
MOSQUE	1603	mosque.n.01
DEAD	1625	dead.a.01
PRAWNS	238	prawn.n.01
GRASP	2021	grasp.v.01
